brand,name,price,category,image_url
GIA/RHW,Rosie 10 Scrunch Over-the-Knee Boots,950,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4161708_100302_k"
Aquazzura,Sinner Crystal Platform Ankle-Strap Sandals,2395,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4165724_100098_k"
Stuart Weitzman,Promise Crystal Suede Slingback Pumps,595,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4181082_100106_k"
Givenchy,Giv 1 Logo Graffiti Runner Sneakers,995,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4188949_100188_k"
Givenchy,City Court Slip-on Sneaker,595,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4188941_100561_k"
Givenchy,City Court Sneakers,550,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4188953_100206_k"
Stuart Weitzman,Nudistsong 90mm Minimalist Leather Sandals,398,Women,https://images.neimanmarcus.com/ca/5/product_assets/X/3/S/H/P/NMX3SHP_ka.jpg
Neous,Sirius Napa Cone-Heel Thong Sandals,535,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4186273_100612_k"
kate spade new york,winona block-heel combat booties with pouch,298,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4140926_100106_k"
Alexandre Birman,Clarita Soft Leather Molded Footbed Thong Sandals,395,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4158816_100550_k"
kate spade new york,hoo hoo slippers,98,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4140904_100106_k"
Veronica Beard,Tizi Mix-Leather Low-Top Sneakers,295,Women,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_4151991_100189_k"
Prada,Men's America's Cup Patent Leather Patchwork Sneakers,720,Men,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_2:3,c_fill,dpr_2.0,w_380/01/nm_3097993_100106_k"
